soort	stratum	gewicht	aanwezig	relevant	onderzocht	totaal	bezoeken
Koekoek	Suburbaan	0.009	11.8	4	68	201	201
Kokmeeuw	Heide en duin	0.043	15.3	7	91	199	450
Kokmeeuw	Landbouw	0.835	325.9	22	426	6311	1287
Kokmeeuw	Moeras en water	0.063	25.7	15	80	137	977
Kokmeeuw	Suburbaan	0.058	20.7	7	68	201	585
Koolmees	Bos	0.043	236.7	141	190	319	8796
Koolmees	Heide en duin	0.032	174.9	80	91	199	4771
Koolmees	Landbouw	0.814	4548.1	307	426	6311	19082
Koolmees	Moeras en water	0.018	101	59	80	137	3565
Koolmees	Suburbaan	0.029	156.7	53	68	201	3140
Koolmees	Urbaan	0.064	349.1	73	87	416	4373
Krakeend	Heide en duin	0.066	8.7	4	91	199	258
Krakeend	Landbouw	0.534	74.1	5	426	6311	280
Krakeend	Moeras en water	0.31	51.4	30	80	137	1920
Krakeend	Suburbaan	0.089	11.8	4	68	201	297
Kuifeend	Bos	0.034	8.4	5	190	319	375
Kuifeend	Heide en duin	0.095	26.2	12	91	199	722
Kuifeend	Landbouw	0.638	192.6	13	426	6311	918
Kuifeend	Moeras en water	0.234	68.5	40	80	137	2596
Kuifmees	Bos	0.344	131	78	190	319	5696
Kuifmees	Heide en duin	0.23	85.3	39	91	199	2759
Kuifmees	Landbouw	0.232	74.1	5	426	6311	552
Kuifmees	Moeras en water	0.04	13.7	8	80	137	468
Kuifmees	Suburbaan	0.078	26.6	9	68	201	552
Kuifmees	Urbaan	0.075	23.9	5	87	416	372
Matkop	Bos	0.16	25.2	15	190	319	1296
Matkop	Heide en duin	0.084	10.9	5	91	199	372
Matkop	Landbouw	0.658	88.9	6	426	6311	376
Matkop	Moeras en water	0.098	13.7	8	80	137	588
Meerkoet	Bos	0.025	25.2	15	190	319	1209
Meerkoet	Heide en duin	0.042	43.7	20	91	199	1227
Meerkoet	Landbouw	0.797	874.1	59	426	6311	3970
Meerkoet	Moeras en water	0.082	87.3	51	80	137	3168
Meerkoet	Suburbaan	0.024	23.6	8	68	201	383
Meerkoet	Urbaan	0.031	28.7	6	87	416	372
Merel	Bos	0.04	236.7	141	190	319	8796
Merel	Heide en duin	0.029	168.4	77	91	199	4680
Merel	Landbouw	0.825	4918.4	332	426	6311	20210
Merel	Moeras en water	0.018	107.9	63	80	137	3773
Merel	Suburbaan	0.028	165.5	56	68	201	3233
Merel	Urbaan	0.06	349.1	73	87	416	4372
Nachtegaal	Heide en duin	0.609	24.1	11	91	199	563
Nachtegaal	Moeras en water	0.391	13.7	8	80	137	624
Nijlgans	Bos	0.016	21.8	13	190	319	1119
Nijlgans	Heide en duin	0.021	28.4	13	91	199	822
Nijlgans	Landbouw	0.908	1318.5	89	426	6311	6065
Nijlgans	Moeras en water	0.041	58.2	34	80	137	2266
Nijlgans	Urbaan	0.013	14.3	3	87	416	179
Patrijs	Landbouw	1	2014.8	136	426	6311	9135
Pimpelmees	Bos	0.046	214.9	128	190	319	8280
Pimpelmees	Heide en duin	0.032	146.5	67	91	199	4159
Pimpelmees	Landbouw	0.802	3777.7	255	426	6311	16578
Pimpelmees	Moeras en water	0.02	94.2	55	80	137	3385
Pimpelmees	Suburbaan	0.03	138.9	47	68	201	2869
Pimpelmees	Urbaan	0.07	325.1	68	87	416	4148
Putter	Landbouw	0.858	429.6	29	426	6311	2084
Putter	Moeras en water	0.031	13.7	8	80	137	555
Putter	Suburbaan	0.053	23.6	8	68	201	493
Putter	Urbaan	0.058	23.9	5	87	416	390
Rietgors	Bos	0.013	5	3	190	319	432
Rietgors	Heide en duin	0.076	39.4	18	91	199	1238
Rietgors	Landbouw	0.8	400	27	426	6311	1976
Rietgors	Moeras en water	0.076	37.7	22	80	137	1525
Rietgors	Suburbaan	0.034	14.8	5	68	201	198
Rietzanger	Landbouw	0.966	533.3	36	426	6311	2570
Rietzanger	Moeras en water	0.034	17.1	10	80	137	677
Ringmus	Landbouw	0.995	1244.4	84	426	6311	5524
Ringmus	Moeras en water	0.005	5.1	3	80	137	264
Roek	Landbouw	0.92	385.2	26	426	6311	1696
Roek	Urbaan	0.08	28.7	6	87	416	408
Roodborst	Bos	0.061	235.1	140	190	319	8724
Roodborst	Heide en duin	0.041	155.3	71	91	199	4418
Roodborst	Landbouw	0.761	2933.3	198	426	6311	12805
Roodborst	Moeras en water	0.024	90.8	53	80	137	3192
Roodborst	Suburbaan	0.033	124.1	42	68	201	2602
Roodborst	Urbaan	0.081	306	64	87	416	3908
Roodborsttapuit	Bos	0.02	11.8	7	190	319	606
Roodborsttapuit	Heide en duin	0.148	98.4	45	91	199	3058
Roodborsttapuit	Landbouw	0.796	518.5	35	426	6311	2574
Roodborsttapuit	Moeras en water	0.018	10.3	6	80	137	419
Roodborsttapuit	Suburbaan	0.018	8.9	3	68	201	148
Scholekster	Bos	0.004	6.7	4	190	319	309
Scholekster	Heide en duin	0.009	17.5	8	91	199	708
Scholekster	Landbouw	0.94	2014.8	136	426	6311	8930
Scholekster	Moeras en water	0.017	34.2	20	80	137	1303
Scholekster	Suburbaan	0.021	41.4	14	68	201	841
Scholekster	Urbaan	0.009	14.3	3	87	416	282
Sperwer	Bos	0.034	18.5	11	190	319	986
Sperwer	Heide en duin	0.018	8.7	4	91	199	222
Sperwer	Landbouw	0.845	503.7	34	426	6311	2568
Sperwer	Moeras en water	0.026	13.7	8	80	137	522
Sperwer	Suburbaan	0.02	8.9	3	68	201	198
Sperwer	Urbaan	0.056	28.7	6	87	416	468
Spotvogel	Heide en duin	0.038	13.1	6	91	199	270
Spotvogel	Landbouw	0.945	385.2	26	426	6311	1216
Spotvogel	Moeras en water	0.017	5.1	3	80	137	174
Spreeuw	Bos	0.011	57.1	34	190	319	2397
Spreeuw	Heide en duin	0.016	78.7	36	91	199	2514
Spreeuw	Landbouw	0.878	4577.7	309	426	6311	19156
Spreeuw	Moeras en water	0.014	68.5	40	80	137	2592
Spreeuw	Suburbaan	0.023	115.3	39	68	201	2414
Spreeuw	Urbaan	0.059	301.2	63	87	416	3879
Sprinkhaanzanger	Heide en duin	0.579	32.8	15	91	199	850
Sprinkhaanzanger	Moeras en water	0.212	10.3	6	80	137	399
Sprinkhaanzanger	Suburbaan	0.209	8.9	3	68	201	154
Staartmees	Bos	0.092	82.3	49	190	319	3703
Staartmees	Heide en duin	0.051	43.7	20	91	199	1508
Staartmees	Landbouw	0.66	577.8	39	426	6311	2976
Staartmees	Moeras en water	0.056	48	28	80	137	1900
Staartmees	Suburbaan	0.066	56.2	19	68	201	1421
Staartmees	Urbaan	0.075	62.2	13	87	416	1030
Stadsduif	Heide en duin	0.024	10.9	5	91	199	227
Stadsduif	Landbouw	0.742	414.8	28	426	6311	1930
Stadsduif	Moeras en water	0.022	10.3	6	80	137	364
Stadsduif	Suburbaan	0.058	29.6	10	68	201	681
Stadsduif	Urbaan	0.155	81.3	17	87	416	1008
Tjiftjaf	Bos	0.044	233.4	139	190	319	8724
Tjiftjaf	Heide en duin	0.032	168.4	77	91	199	4653
Tjiftjaf	Landbouw	0.813	4325.8	292	426	6311	18249
Tjiftjaf	Moeras en water	0.02	104.5	61	80	137	3695
Tjiftjaf	Suburbaan	0.029	153.7	52	68	201	3083
Tjiftjaf	Urbaan	0.061	320.4	67	87	416	4072
Torenvalk	Bos	0.004	5	3	190	319	258
Torenvalk	Heide en duin	0.016	28.4	13	91	199	917
Torenvalk	Landbouw	0.961	1837	124	426	6311	8428
Torenvalk	Moeras en water	0.007	12	7	80	137	533
Torenvalk	Suburbaan	0.012	20.7	7	68	201	542
Tuinfluiter	Bos	0.052	67.2	40	190	319	1770
Tuinfluiter	Heide en duin	0.056	70	32	91	199	1377
Tuinfluiter	Landbouw	0.83	1066.6	72	426	6311	3317
Tuinfluiter	Moeras en water	0.045	56.5	33	80	137	1508
Tuinfluiter	Suburbaan	0.018	20.7	7	68	201	375
Turkse tortel	Bos	0.009	43.7	26	190	319	1790
Turkse tortel	Heide en duin	0.014	67.8	31	91	199	1793
Turkse tortel	Landbouw	0.866	4340.7	293	426	6311	18341
Turkse tortel	Moeras en water	0.012	56.5	33	80	137	2106
Turkse tortel	Suburbaan	0.028	136	46	68	201	2897
Turkse tortel	Urbaan	0.071	349.1	73	87	416	4370
Veldleeuwerik	Bos	0.005	10.1	6	190	319	408
Veldleeuwerik	Heide en duin	0.026	59	27	91	199	1760
Veldleeuwerik	Landbouw	0.956	2296.3	155	426	6311	9914
Veldleeuwerik	Moeras en water	0.007	15.4	9	80	137	553
Veldleeuwerik	Suburbaan	0.006	11.8	4	68	201	112
Vink	Bos	0.044	235.1	140	190	319	8737
Vink	Heide en duin	0.03	157.5	72	91	199	4487
Vink	Landbouw	0.826	4488.8	303	426	6311	18724
Vink	Moeras en water	0.018	94.2	55	80	137	3384
Vink	Suburbaan	0.025	133	45	68	201	2595
Vink	Urbaan	0.057	306	64	87	416	3928
Waterhoen	Bos	0.012	23.5	14	190	319	1167
Waterhoen	Heide en duin	0.013	26.2	12	91	199	762
Waterhoen	Landbouw	0.896	1970.3	133	426	6311	8633
Waterhoen	Moeras en water	0.024	51.4	30	80	137	1991
Waterhoen	Suburbaan	0.018	35.5	12	68	201	823
Waterhoen	Urbaan	0.037	76.5	16	87	416	1085
Wielewaal	Bos	0.052	10.1	6	190	319	292
Wielewaal	Heide en duin	0.039	6.6	3	91	199	138
Wielewaal	Landbouw	0.849	192.6	13	426	6311	586
Wielewaal	Moeras en water	0.061	12	7	80	137	308
Wilde eend	Bos	0.015	62.1	37	190	319	2919
Wilde eend	Heide en duin	0.024	100.6	46	91	199	3101
Wilde eend	Landbouw	0.892	3866.6	261	426	6311	16675
Wilde eend	Moeras en water	0.023	95.9	56	80	137	3411
Wilde eend	Suburbaan	0.019	79.8	27	68	201	1664
Wilde eend	Urbaan	0.028	114.8	24	87	416	1612
Winterkoning	Bos	0.042	231.7	138	190	319	8702
Winterkoning	Heide en duin	0.027	148.7	68	91	199	4276
Winterkoning	Landbouw	0.827	4622.1	312	426	6311	19460
Winterkoning	Moeras en water	0.018	101	59	80	137	3605
Winterkoning	Suburbaan	0.028	153.7	52	68	201	3083
Winterkoning	Urbaan	0.058	320.4	67	87	416	4017
Witte kwikstaart	Bos	0.01	40.3	24	190	319	1866
Witte kwikstaart	Heide en duin	0.015	59	27	91	199	1944
Witte kwikstaart	Landbouw	0.924	3777.7	255	426	6311	16578
Witte kwikstaart	Moeras en water	0.014	56.5	33	80	137	2157
Witte kwikstaart	Suburbaan	0.02	79.8	27	68	201	1549
Witte kwikstaart	Urbaan	0.016	62.2	13	87	416	983
Wulp	Bos	0.015	6.7	4	190	319	258
Wulp	Heide en duin	0.085	48.1	22	91	199	1568
Wulp	Landbouw	0.885	488.9	33	426	6311	2222
Wulp	Moeras en water	0.015	6.8	4	80	137	276
Zanglijster	Bos	0.046	219.9	131	190	319	8400
Zanglijster	Heide en duin	0.028	133.4	61	91	199	4112
Zanglijster	Landbouw	0.825	3955.5	267	426	6311	16983
Zanglijster	Moeras en water	0.019	89	52	80	137	3282
