soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Gekraagde roodstaart,driejaarlijks,1.024,0.998,1.05,+2.4% (-0.2%; +5.0%),+39% (-3%; +97%),?+,niet-lineair,e950c9fa827f22fd3b6df0cc25eb7d5d8ceadbd9,4ba42de1486deb1dc3d57b9f825e2132fb996e66
Gekraagde roodstaart,jaarlijks,1.022,0.997,1.048,+2.2% (-0.3%; +4.8%),+35% (-5%; +92%),?+,niet-lineair,f81d04f348e6266cff4fa0ced80d31192d4fd6b8,9e44944a7d8f7979f8ced97cb5711c6b23dc7746
Gele kwikstaart,driejaarlijks,0.981,0.973,0.988,-1.9% (-2.7%; -1.2%),-24% (-32%; -15%),-,niet-lineair,564ca052433e32a72d509e613a6e0a875d944092,9f95088554577f8ebaae7e05588d9fa0b2726ec0
Gele kwikstaart,jaarlijks,0.981,0.973,0.988,-1.9% (-2.7%; -1.2%),-24% (-31%; -15%),-,niet-lineair,d27831c7a4d3343639c2e594bde749076f1a5ae2,db3c7c3c22b1b3c3c69532149f4ea0d08531a901
Gierzwaluw,driejaarlijks,1.03,1.007,1.054,+3.0% (+0.7%; +5.4%),+51.1% (+9.8%; +108.0%),+,niet-lineair,66279b3723d3a68478b731aab7872c75baccfcbf,7b3874141a98859fe9294c1048e8e5d709f4a9bb
Gierzwaluw,jaarlijks,1.026,1.003,1.05,+2.6% (+0.3%; +5.0%),+44% (+5%; +97%),+,niet-lineair,94a531f9de008dba14ec492cffb3f2767ff4c63a,6d60bca4ca6b5e014a4d4c65383491b2a25d55ac
Glanskop,driejaarlijks,1.002,0.959,1.047,+0.2% (-4.1%; +4.7%),+0% (-40%; +90%),?,mogelijk niet-lineair,7fd9260e36f92e058a69af18d2f8f1c7941b34e9,0c3c33a175bde98c8475ac36a9f297d14f48976b
Glanskop,jaarlijks,1.004,0.96,1.05,+0.4% (-4.0%; +5.0%),+10% (-40%; +100%),?,mogelijk niet-lineair,00d0e7963fbe57c5981cbe59f584539a8203f940,025ecaab5695150956a7853762db46d7f72e69b1
Goudhaan,driejaarlijks,0.978,0.961,0.995,-2.2% (-3.9%; -0.5%),-27% (-43%; -6%),-,niet-lineair,d677450c99148e632b07a1bf01d3f7c677649aea,c431d38750d2609d2ad585792aeae24b199da654
Goudhaan,jaarlijks,0.978,0.961,0.996,-2.2% (-3.9%; -0.4%),-27% (-43%; -6%),-,niet-lineair,2ec3cd83c69dc4244f1c78e09065aea5f1144265,df2810b716c8dbbf2a4284a5a7e7151a5bea9637
Grasmus,driejaarlijks,1.016,1.008,1.024,+1.6% (+0.8%; +2.4%),+25% (+12%; +39%),+,niet-lineair,13e409fc15432390bee768d0847cd1ace7795b91,d2095b750cb375ea20b3759ae766fbe2713a0c92
Grasmus,jaarlijks,1.016,1.009,1.024,+1.6% (+0.9%; +2.4%),+25% (+13%; +39%),+,niet-lineair,73ae612d0f4a96747029145d7a9cb0065f5617e1,7960ef83468ee72cf1b45c97455e4767668d03af
Graspieper,driejaarlijks,0.988,0.977,1,-1.2% (-2.3%; -0.0%),-15% (-27%; -1%),-,niet-lineair,d28824dd2314623143a432ef5e8823819b9b7b62,54ce73bb4e3b2a1cb72a3c565dc6053ee9881d99
Graspieper,jaarlijks,0.99,0.979,1.001,-1.0% (-2.1%; +0.1%),-13% (-26%; +1%),?-,niet-lineair,c13a8ba14df3906000fe21e70be86e2cccb92c41,eeba30a485ba87ed444c3062dc4db56e9b073769
Grauwe gans,driejaarlijks,1.018,0.988,1.049,+1.8% (-1.2%; +4.9%),+30% (-20%; +100%),?+,niet-lineair,7bdbaaf205a386359546f22a6ff289b9b31f52ab,dbc42f90870c05d99f79113f7384980bc76a51a9
Grauwe gans,jaarlijks,1.019,0.989,1.05,+1.9% (-1.1%; +5.0%),+30% (-10%; +100%),?+,niet-lineair,4225abc20c2765296df5ce371f898d57689ab370,e5d5d97e48344839c7d9642bd5d430f2b76c6554
Groene specht,driejaarlijks,0.992,0.986,0.999,-0.76% (-1.38%; -0.13%),-10.1% (-17.7%; -1.8%),-~,niet-lineair,c885580170ea38fb963211ee6f151aa06280c62c,1e3941c649523e0815c098c88a3f4f23c3e0541f
Groene specht,jaarlijks,0.993,0.987,0.999,-0.72% (-1.33%; -0.10%),-9.6% (-17.1%; -1.4%),-~,niet-lineair,e573af01c2ed7c4b4b2f421e1cb05834a6ec5e40,5f172186b84297ed1f013c54778b5b1e07edd5e4
Groenling,driejaarlijks,0.992,0.984,1,-0.83% (-1.62%; -0.04%),-11% (-20%; -1%),-~,niet-lineair,1d4830a014605be4a7c62e8719a949951fcdd227,05a0db3aa9b3d48cc55fe43cee79b54cf9637473
Groenling,jaarlijks,0.992,0.984,1,-0.79% (-1.56%; +0.00%),-10.5% (-19.7%; +0.0%),~,niet-lineair,a104bbdfbf19b4cf5ff3017c41d76e02a3746850,4d5fef247082bf4fe49c176915cacd4389a90080
Grote bonte specht,driejaarlijks,1.026,1.018,1.034,+2.6% (+1.8%; +3.4%),+42% (+28%; +59%),+,lineair,da891c417eb42d2c8047ddb0c8a93610975275bf,f31d4b3e8497339305dcd42047616b8a07ef12e6
Grote bonte specht,jaarlijks,1.026,1.018,1.034,+2.6% (+1.8%; +3.4%),+42% (+28%; +59%),+,niet-lineair,f0a2fcade99f52dd12783e8990fc95013b5d6039,3247eabbfafa9979bc33f00441422ff85e4f6842
Grote lijster,driejaarlijks,0.92,0.901,0.938,-8.0% (-9.9%; -6.2%),-69% (-77%; -59%),--,lineair,06e40412167af75ba80f51a164da30f0a7586ff9,1e69c15fbce4a54fcd441df33ce62763ecd64777
Grote lijster,jaarlijks,0.919,0.901,0.937,-8.1% (-9.9%; -6.3%),-69% (-77%; -60%),--,niet-lineair,a1c9546eefd59c8a17bf017f846b35063b13da12,3d899430f72702b74aee0306c84341bbb9e9dbee
Grutto,driejaarlijks,0.968,0.952,0.983,-3.2% (-4.8%; -1.7%),-37% (-50%; -21%),-,lineair,c91d5330cfeba50734ff7f067012de7a4b656e2c,3238fa4fcd3a4c140b470bd09985eb737010a4cf
Grutto,jaarlijks,0.968,0.953,0.984,-3.2% (-4.7%; -1.6%),-37% (-49%; -21%),-,lineair,038affb05e6bc65f33645b5de88a57e17586e045,d711d254f7e171b2e1e6646f465dd88184f5f512
Halsbandparkiet,driejaarlijks,1.076,1.033,1.121,+7.62% (+3.34%; +12.07%),+180% (+60%; +390%),++,niet-lineair,4aba884d941fe44836a437c94515733a1c28c0dc,bdd90821f9698354e3cb97db2459407f2760cc9d
Halsbandparkiet,jaarlijks,1.071,1.031,1.113,+7.13% (+3.12%; +11.30%),+160% (+50%; +350%),++,niet-lineair,a8e2075cb617d2a9836ea5996ef48659132c7033,d7a88e8154e017560cc18456820b604c468f2c27
Havik,driejaarlijks,0.925,0.896,0.956,-7.46% (-10.40%; -4.44%),-66% (-78%; -47%),--,lineair,8c73be9a2dddf6cc4a3660dc68291fff0531d1b4,038e025fb726fe10cf7fddbdda4b7ad3033bc81a
